Data,11B,AMC,ASE,ATT,BDX,BFT,BHW,BML,BNP,CAR,CIE,CIG,CLN,CMR,CRM,DAT,DOM,DVL,EAT,ECH,ENA,EUR,FMF,GPW,GTC,ING,KER,KRU,KTY,LVC,MAB,MBK,MIL,MRC,NEU,PKP,PLW,TEN,WPL,XTB
1992-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5924,,,,,,,
1992-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5924,,,,,,,
1992-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5841,,,,,,,
1992-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5841,,,,,,,
1992-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5841,,,,,,,
1992-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5183,,,,,,,
1992-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,
1992-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5018,,,,,,,
1992-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,
1992-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5511,,,,,,,
1992-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5511,,,,,,,
1992-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5595,,,,,,,
1992-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5511,,,,,,,
1992-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5595,,,,,,,
1992-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5924,,,,,,,
1992-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3267,0.5924,,,,,,,
1992-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.212,0.5924,,,,,,,
1992-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9007,0.6087,,,,,,,
1992-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9499,0.5924,,,,,,,
1992-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2448,0.5924,,,,,,,
1992-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5562,0.5924,,,,,,,
1992-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6053,0.5924,,,,,,,
1992-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4579,0.5924,,,,,,,
1992-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4579,0.5924,,,,,,,
1992-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4415,0.5759,,,,,,,
1992-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4743,0.5183,,,,,,,
1992-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4743,0.5183,,,,,,,
1992-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.212,0.5511,,,,,,,
1992-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3103,0.5511,,,,,,,
1992-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2612,0.5183,,,,,,,
1992-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.081,0.5183,,,,,,,
1992-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2776,0.5511,,,,,,,
1992-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3103,0.5511,,,,,,,
1992-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3431,0.51,,,,,,,
1992-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.294,0.5511,,,,,,,
1992-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2612,0.5429,,,,,,,
1992-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2285,0.5511,,,,,,,
1992-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1793,0.5759,,,,,,,
1992-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1138,0.6251,,,,,,,
1993-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1301,0.5759,,,,,,,
1993-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.212,0.5841,,,,,,,
1993-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.294,0.6087,,,,,,,
1993-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3595,0.5924,,,,,,,
1993-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3923,0.5924,,,,,,,
1993-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3923,0.5595,,,,,,,
1993-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3595,0.5841,,,,,,,
1993-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3267,0.5595,,,,,,,
1993-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3103,0.5595,,,,,,,
1993-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3103,0.5759,,,,,,,
1993-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2776,0.5595,,,,,,,
1993-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.212,0.5511,,,,,,,
1993-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1957,0.5595,,,,,,,
1993-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2285,0.5595,,,,,,,
1993-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2285,0.5511,,,,,,,
1993-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2612,0.5759,,,,,,,
1993-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.212,0.5511,,,,,,,
1993-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1465,0.5429,,,,,,,
1993-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1465,0.5429,,,,,,,
1993-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1465,0.5429,,,,,,,
1993-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1138,0.5429,,,,,,,
1993-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.081,0.5348,,,,,,,
1993-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1138,0.5348,,,,,,,
1993-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1138,0.5429,,,,,,,
1993-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1629,0.5511,,,,,,,
1993-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1957,0.5511,,,,,,,
1993-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2285,0.5595,,,,,,,
1993-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2448,0.5841,,,,,,,
1993-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3431,0.5841,,,,,,,
1993-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4415,0.5924,,,,,,,
1993-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4906,0.6251,,,,,,,
1993-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2612,0.6828,,,,,,,
1993-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3267,0.6992,,,,,,,
1993-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3923,0.6581,,,,,,,
1993-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4743,0.6498,,,,,,,
1993-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4579,0.6581,,,,,,,
1993-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4087,0.6581,,,,,,,
1993-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4415,0.6581,,,,,,,
1993-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4415,0.6663,,,,,,,
1993-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4415,0.6581,,,,,,,
1993-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4415,0.6498,,,,,,,
1993-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4906,0.6581,,,,,,,
1993-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5234,0.6828,,,,,,,
1993-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6053,0.6828,,,,,,,
1993-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9659,0.6828,,,,,,,
1993-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3592,0.7403,,,,,,,
1993-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7853,0.8144,,,,,,,
1993-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,0.8884,,,,,,,
1993-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4083,0.8063,,,,,,,
1993-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5888,0.7322,,,,,,,
1993-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8345,0.7979,,,,,,,
1993-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0803,0.765,,,,,,,
1993-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5884,0.8391,,,,,,,
1993-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1455,0.9213,,,,,,,
1993-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2111,1.0118,,,,,,,
1993-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7358,0.9296,,,,,,,
1993-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3094,0.9543,,,,,,,
1993-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8829,1.0447,,,,,,,
1993-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8829,0.9789,,,,,,,
1993-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5712,1.0694,,,,,,,
1993-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2759,1.1681,,,,,,,
1993-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0957,1.0694,,,,,,,
1993-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3579,0.9872,,,,,,,
1993-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.522,0.9213,,,,,,,
1993-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7846,0.8309,,,,,,,
1993-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1127,0.7486,,,,,,,
1993-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5064,0.8309,,,,,,,
1993-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0471,0.9131,,,,,,,
1993-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6372,0.9954,,,,,,,
1993-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2927,0.9954,,,,,,,
1993-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5715,0.9049,,,,,,,
1993-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9977,0.8473,,,,,,,
